Collisions_CONTRIBUTING FACTOR VEHICLE 1,Collisions_VEHICLE TYPE CODE 1,Collisions_VEHICLE TYPE CODE 2,Collisions_VEHICLE TYPE CODE 3,Arrests_PD_DESC,Arrests_AGE_GROUP,Arrests_PERP_SEX,Arrests_PERP_RACE,Complaint_LAW_CAT_CD,Complaint_PD_DESC,Complaint_PREM_TYP_DESC,Complaint_SUSP_AGE_GROUP,Complaint_SUSP_RACE,Complaint_SUSP_SEX,Complaint_VIC_AGE_GROUP,Complaint_VIC_RACE,Complaint_VIC_SEX,Shooting_LOCATION_DESC,Shooting_STATISTICAL_MURDER_FLAG,Shooting_PERP_AGE_GROUP,Shooting_PERP_SEX,Shooting_PERP_RACE,Shooting_VIC_AGE_GROUP,Shooting_VIC_SEX,Shooting_VIC_RACE,sector index
Failure to Yield Right-of-Way,PASSENGER VEHICLE,Station Wagon/Sport Utility Vehicle,PASSENGER VEHICLE,ASSAULT 3,25-44,M,ASIAN / PACIFIC ISLANDER,MISDEMEANOR,"LARCENY,PETIT FROM BUILDING,UNATTENDED, PACKAGE THEFT INSIDE",RESIDENCE-HOUSE,UNKNOWN,BLACK,M,25-44,ASIAN / PACIFIC ISLANDER,M,PVT HOUSE,TRUE,18-24,M,WHITE HISPANIC,25-44,M,WHITE HISPANIC,3586
Failure to Yield Right-of-Way,Sedan,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,ASSAULT 3,25-44,M,ASIAN / PACIFIC ISLANDER,MISDEMEANOR,"LARCENY,PETIT OF VEHICLE ACCES",RESIDENCE - APT. HOUSE,(null),(null),(null),45-64,ASIAN / PACIFIC ISLANDER,M,,FALSE,,,,18-24,M,BLACK,3587
Driver Inattention/Distraction,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,"LARCENY,PETIT FROM OPEN AREAS,UNCLASSIFIED",25-44,M,WHITE,MISDEMEANOR,"HARASSMENT,SUBD 3,4,5",RESIDENCE-HOUSE,25-44,WHITE,M,45-64,WHITE,M,,,,,,,,,3588
Driver Inattention/Distraction,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,"INTOXICATED DRIVING,ALCOHOL",25-44,M,WHITE,,,,,,,,,,,,,,,,,,3589
Driver Inattention/Distraction,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,"INTOXICATED DRIVING,ALCOHOL",25-44,M,WHITE,FELONY,"ASSAULT 2,1,UNCLASSIFIED",RESIDENCE-HOUSE,18-24,BLACK HISPANIC,M,18-24,ASIAN / PACIFIC ISLANDER,F,,,,,,,,,3590
Driver Inattention/Distraction,Sedan,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,"TRAFFIC,UNCLASSIFIED MISDEMEAN",25-44,M,WHITE,MISDEMEANOR,"SEXUAL ABUSE 3,2",RESIDENCE-HOUSE,UNKNOWN,WHITE HISPANIC,M,<18,ASIAN / PACIFIC ISLANDER,F,,FALSE,,,,25-44,M,BLACK,3591
Driver Inattention/Distraction,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,"TRAFFIC,UNCLASSIFIED MISDEMEAN",25-44,M,WHITE,FELONY,"LARCENY,GRAND BY BANK ACCT COMPROMISE-UNCLASSIFIED",RESIDENCE-HOUSE,(null),(null),(null),45-64,ASIAN / PACIFIC ISLANDER,F,,,,,,,,,3592
Driver Inattention/Distraction,PASSENGER VEHICLE,PASSENGER VEHICLE,Station Wagon/Sport Utility Vehicle,"TRAFFIC,UNCLASSIFIED MISDEMEAN",25-44,M,WHITE,,,,,,,,,,,,,,,,,,3593
Driver Inattention/Distraction,PASSENGER VEHICLE,Sedan,Station Wagon/Sport Utility Vehicle,"INTOXICATED DRIVING,ALCOHOL",25-44,M,WHITE,,,,,,,,,,,,,,,,,,3594
Driver Inattention/Distraction,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,Sedan,ASSAULT 3,25-44,M,WHITE,FELONY,MONEY LAUNDERING 1 & 2,OPEN AREAS (OPEN LOTS),45-64,ASIAN / PACIFIC ISLANDER,M,UNKNOWN,UNKNOWN,E,,,,,,,,,3595
Driver Inattention/Distraction,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,PASSENGER VEHICLE,"ASSAULT 2,1,UNCLASSIFIED",25-44,M,WHITE,MISDEMEANOR,AGGRAVATED HARASSMENT 2,STREET,45-64,WHITE,M,45-64,WHITE,M,,,,,,,,,3596
Driver Inattention/Distraction,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,"INTOXICATED DRIVING,ALCOHOL",25-44,M,WHITE,,,,,,,,,,,,,,,,,,3597
Driver Inattention/Distraction,PASSENGER VEHICLE,Station Wagon/Sport Utility Vehicle,Sedan,"INTOXICATED DRIVING,ALCOHOL",25-44,M,BLACK,,,,,,,,,,,,,,,,,,3598
Driver Inattention/Distraction,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,"CONTROLLED SUBSTANCE, POSSESSION 7",25-44,M,WHITE,FELONY,"FRAUD,UNCLASSIFIED-MISDEMEANOR",RESIDENCE - APT. HOUSE,UNKNOWN,UNKNOWN,U,45-64,WHITE,M,,TRUE,<18,M,WHITE HISPANIC,25-44,M,BLACK,3635
Driver Inattention/Distraction,Sedan,Sedan,PASSENGER VEHICLE,"LARCENY,GRAND FROM OPEN AREAS,UNCLASSIFIED",25-44,M,BLACK,FELONY,"TAMPERING 1,CRIMINAL",RESIDENCE - APT. HOUSE,UNKNOWN,UNKNOWN,M,25-44,UNKNOWN,F,RESTAURANT/DINER,FALSE,45-64,M,WHITE,25-44,F,WHITE HISPANIC,3636
Driver Inattention/Distraction,PASSENGER VEHICLE,Sedan,PASSENGER VEHICLE,"LARCENY,PETIT FROM OPEN AREAS,UNCLASSIFIED",25-44,M,BLACK,FELONY,"LARCENY,PETIT FROM STORE-SHOPL",RESIDENCE - APT. HOUSE,UNKNOWN,UNKNOWN,U,UNKNOWN,UNKNOWN,D,,TRUE,,,,25-44,M,BLACK,3637
Driver Inattention/Distraction,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,"NY STATE LAWS,UNCLASSIFIED MISDEMEANOR",25-44,M,BLACK,FELONY,"LARCENY,GRAND BY BANK ACCT COMPROMISE-UNCLASSIFIED",RESIDENCE - APT. HOUSE,25-44,WHITE,M,45-64,WHITE,F,,,,,,,,,3638
Driver Inattention/Distraction,PASSENGER VEHICLE,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,"LARCENY,GRAND FROM OPEN AREAS,UNCLASSIFIED",25-44,M,BLACK,MISDEMEANOR,"SEXUAL ABUSE 3,2",RESIDENCE - APT. HOUSE,UNKNOWN,WHITE,M,UNKNOWN,WHITE,F,,,,,,,,,3639
Driver Inattention/Distraction,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,"LARCENY,PETIT FROM OPEN AREAS,UNCLASSIFIED",25-44,M,BLACK,FELONY,"HARASSMENT,SUBD 3,4,5",RESIDENCE - APT. HOUSE,UNKNOWN,UNKNOWN,U,25-44,WHITE,F,,,,,,,,,3640
Driver Inattention/Distraction,Sedan,Sedan,Sedan,ASSAULT 3,25-44,M,WHITE,VIOLATION,"HARASSMENT,SUBD 3,4,5",RESIDENCE - APT. HOUSE,UNKNOWN,UNKNOWN,U,25-44,WHITE,F,,,,,,,,,3641
Driver Inattention/Distraction,Station Wagon/Sport Utility Vehicle,Sedan,Sedan,"MARIJUANA, POSSESSION 4 & 5",25-44,M,WHITE HISPANIC,FELONY,"BURGLARY,RESIDENCE,DAY",RESIDENCE - APT. HOUSE,(null),(null),(null),18-24,UNKNOWN,M,,,,,,,,,3642
Driver Inattention/Distraction,Sedan,Sedan,Sedan,"MARIJUANA, POSSESSION 4 & 5",25-44,M,WHITE HISPANIC,MISDEMEANOR,"HARASSMENT,SUBD 3,4,5",RESIDENCE - APT. HOUSE,UNKNOWN,UNKNOWN,F,25-44,WHITE HISPANIC,F,MULTI DWELL - APT BUILD,FALSE,18-24,M,WHITE HISPANIC,25-44,F,UNKNOWN,3643
Driver Inattention/Distraction,Sedan,Sedan,PASSENGER VEHICLE,ASSAULT 3,25-44,M,WHITE HISPANIC,FELONY,UNAUTHORIZED USE VEHICLE 2,STREET,UNKNOWN,UNKNOWN,M,25-44,WHITE,F,MULTI DWELL - APT BUILD,TRUE,25-44,M,WHITE,25-44,F,WHITE,3644
Driver Inattention/Distraction,Sedan,Sedan,Sedan,ASSAULT 3,25-44,M,WHITE HISPANIC,FELONY,"HARASSMENT,SUBD 3,4,5",RESIDENCE - APT. HOUSE,UNKNOWN,UNKNOWN,U,25-44,WHITE,M,,,,,,,,,3645
Driver Inattention/Distraction,Sedan,Sedan,Sedan,ASSAULT 3,25-44,M,BLACK,FELONY,SEXUAL ABUSE,RESIDENCE - APT. HOUSE,UNKNOWN,UNKNOWN,M,<18,WHITE HISPANIC,F,BAR/NIGHT CLUB,FALSE,18-24,M,BLACK HISPANIC,25-44,M,BLACK,3646
Driver Inattention/Distraction,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,"INTOXICATED DRIVING,ALCOHOL",25-44,M,WHITE HISPANIC,MISDEMEANOR,"LARCENY,PETIT OF LICENSE PLATE",RESIDENCE - APT. HOUSE,UNKNOWN,WHITE,M,18-24,WHITE HISPANIC,F,,,,,,,,,3647
Driver Inattention/Distraction,Sedan,Sedan,Sedan,ASSAULT 3,25-44,M,WHITE HISPANIC,MISDEMEANOR,"LARCENY,PETIT OF LICENSE PLATE",RESIDENCE - APT. HOUSE,65+,WHITE HISPANIC,M,25-44,WHITE HISPANIC,F,,,,,,,,,3648
Driver Inattention/Distraction,Sedan,PASSENGER VEHICLE,PASSENGER VEHICLE,"INTOXICATED DRIVING,ALCOHOL",25-44,M,WHITE HISPANIC,FELONY,"LARCENY,GRAND BY CREDIT CARD ACCT COMPROMISE-EXISTING ACCT",RESIDENCE - APT. HOUSE,UNKNOWN,UNKNOWN,U,25-44,WHITE HISPANIC,M,,,,,,,,,3649
Driver Inattention/Distraction,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,"MARIJUANA, POSSESSION 4 & 5",25-44,M,WHITE HISPANIC,MISDEMEANOR,UNAUTHORIZED USE VEHICLE 3,COMMERCIAL BUILDING,25-44,WHITE HISPANIC,M,UNKNOWN,UNKNOWN,D,,,,,,,,,3650
Driver Inattention/Distraction,Sedan,Sedan,Sedan,ASSAULT 3,25-44,M,WHITE HISPANIC,MISDEMEANOR,"HARASSMENT,SUBD 3,4,5",RESIDENCE-HOUSE,25-44,WHITE HISPANIC,M,25-44,WHITE HISPANIC,F,PVT HOUSE,TRUE,25-44,M,WHITE HISPANIC,25-44,M,WHITE HISPANIC,3651
Driver Inattention/Distraction,Sedan,Sedan,PASSENGER VEHICLE,PROSTITUTION,25-44,M,WHITE HISPANIC,,,,,,,,,,,FALSE,18-24,M,ASIAN / PACIFIC ISLANDER,18-24,M,BLACK,3652
Driver Inattention/Distraction,PASSENGER VEHICLE,PASSENGER VEHICLE,Sedan,"MARIJUANA, POSSESSION 4 & 5",25-44,M,WHITE HISPANIC,,,,,,,,,,,,,,,,,,3653
Backing Unsafely,Sedan,Station Wagon/Sport Utility Vehicle,PASSENGER VEHICLE,"LARCENY,PETIT FROM OPEN AREAS,UNCLASSIFIED",25-44,M,WHITE,,,,,,,,,,,,,,,,,,3655
Following Too Closely,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,Sedan,"FORGERY,ETC.,UNCLASSIFIED-FELO",25-44,M,WHITE HISPANIC,MISDEMEANOR,"LARCENY,PETIT OF LICENSE PLATE",COMMERCIAL BUILDING,45-64,WHITE HISPANIC,F,65+,WHITE,M,,FALSE,,,,25-44,M,WHITE HISPANIC,3656
Failure to Yield Right-of-Way,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,PASSENGER VEHICLE,ASSAULT 3,25-44,M,ASIAN / PACIFIC ISLANDER,FELONY,"LARCENY,GRAND BY OPEN/COMPROMISE CELL PHONE ACCT",RESIDENCE - APT. HOUSE,18-24,BLACK,M,25-44,ASIAN / PACIFIC ISLANDER,F,MULTI DWELL - PUBLIC HOUS,TRUE,,,,25-44,M,BLACK,3657
Failure to Yield Right-of-Way,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,ASSAULT 3,25-44,M,ASIAN / PACIFIC ISLANDER,FELONY,"LARCENY,GRAND BY BANK ACCT COMPROMISE-ATM TRANSACTION",RESIDENCE - APT. HOUSE,25-44,ASIAN / PACIFIC ISLANDER,M,65+,ASIAN / PACIFIC ISLANDER,F,,FALSE,25-44,M,WHITE HISPANIC,25-44,M,WHITE HISPANIC,3658
Failure to Yield Right-of-Way,Station Wagon/Sport Utility Vehicle,PASSENGER VEHICLE,Station Wagon/Sport Utility Vehicle,ASSAULT 3,25-44,M,ASIAN / PACIFIC ISLANDER,FELONY,"NY STATE LAWS,UNCLASSIFIED FEL",RESIDENCE - APT. HOUSE,25-44,WHITE HISPANIC,M,UNKNOWN,UNKNOWN,E,,FALSE,,,,65+,F,ASIAN / PACIFIC ISLANDER,3659
Failure to Yield Right-of-Way,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,ASSAULT 3,25-44,M,WHITE HISPANIC,FELONY,"LARCENY,GRAND BY BANK ACCT COMPROMISE-ATM TRANSACTION",RESIDENCE-HOUSE,(null),(null),(null),45-64,ASIAN / PACIFIC ISLANDER,F,,,,,,,,,3660
Failure to Yield Right-of-Way,PASSENGER VEHICLE,Station Wagon/Sport Utility Vehicle,Sedan,"TRAFFIC,UNCLASSIFIED MISDEMEAN",25-44,M,WHITE,FELONY,"FRAUD,UNCLASSIFIED-FELONY",RESIDENCE-HOUSE,(null),(null),(null),65+,WHITE,F,,,,,,,,,3661
Driver Inattention/Distraction,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,PASSENGER VEHICLE,ASSAULT 3,25-44,M,WHITE,MISDEMEANOR,UNAUTHORIZED USE VEHICLE 3,STREET,25-44,WHITE,M,25-44,WHITE,F,,,,,,,,,3662
Driver Inattention/Distraction,PASSENGER VEHICLE,PASSENGER VEHICLE,Station Wagon/Sport Utility Vehicle,ASSAULT 3,25-44,M,WHITE,FELONY,"LARCENY,GRAND BY OPEN CREDIT CARD (NEW ACCT)",RESIDENCE-HOUSE,(null),(null),(null),45-64,WHITE,M,,,,,,,,,3663
Driver Inattention/Distraction,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,Sedan,"INTOXICATED DRIVING,ALCOHOL",25-44,M,WHITE,,,,,,,,,,,,,,,,,,3664
Driver Inattention/Distraction,Sedan,Station Wagon/Sport Utility Vehicle,PASSENGER VEHICLE,"INTOXICATED DRIVING,ALCOHOL",25-44,M,WHITE,,,,,,,,,,,,,,,,,,3665
Driver Inattention/Distraction,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,Sedan,"INTOXICATED DRIVING,ALCOHOL",25-44,M,WHITE,,,,,,,,,,,,,,,,,,3666
Driver Inattention/Distraction,Sedan,Sedan,Station Wagon/Sport Utility Vehicle,"MARIJUANA, POSSESSION 4 & 5",25-44,M,ASIAN / PACIFIC ISLANDER,,,,,,,,,,,,,,,,,,3667
Driver Inattention/Distraction,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,ASSAULT 3,25-44,M,WHITE,MISDEMEANOR,"LARCENY,PETIT OF LICENSE PLATE",RESIDENCE-HOUSE,25-44,WHITE HISPANIC,U,25-44,ASIAN / PACIFIC ISLANDER,F,,,,,,,,,3668
Driver Inattention/Distraction,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,"TRAFFIC,UNCLASSIFIED MISDEMEAN",25-44,M,WHITE,,,,,,,,,,,,,,,,,,3669
Driver Inattention/Distraction,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,Sedan,"TRAFFIC,UNCLASSIFIED MISDEMEAN",25-44,M,ASIAN / PACIFIC ISLANDER,,,,,,,,,,,,,,,,,,3670
Driver Inattention/Distraction,Sedan,Station Wagon/Sport Utility Vehicle,Sedan,"TRAFFIC,UNCLASSIFIED MISDEMEAN",25-44,M,WHITE,,,,,,,,,,,,,,,,,,3671
Driver Inattention/Distraction,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,ASSAULT 3,25-44,M,BLACK,VIOLATION,"HARASSMENT,SUBD 1,CIVILIAN",RESIDENCE - APT. HOUSE,18-24,ASIAN / PACIFIC ISLANDER,M,25-44,ASIAN / PACIFIC ISLANDER,F,,,,,,,,,3710
Driver Inattention/Distraction,Sedan,PASSENGER VEHICLE,Sedan,ASSAULT 3,25-44,M,BLACK,FELONY,"HARASSMENT,SUBD 3,4,5",RESIDENCE - PUBLIC HOUSING,45-64,UNKNOWN,M,45-64,BLACK HISPANIC,F,MULTI DWELL - PUBLIC HOUS,FALSE,25-44,M,BLACK,25-44,M,BLACK,3711
Driver Inattention/Distraction,Sedan,PASSENGER VEHICLE,PASSENGER VEHICLE,"LARCENY,PETIT FROM OPEN AREAS,UNCLASSIFIED",25-44,M,BLACK,MISDEMEANOR,"HARASSMENT,SUBD 3,4,5",RESIDENCE - APT. HOUSE,UNKNOWN,UNKNOWN,U,25-44,WHITE,F,,,,,,,,,3712
Driver Inattention/Distraction,PASSENGER VEHICLE,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,"NY STATE LAWS,UNCLASSIFIED MISDEMEANOR",25-44,M,WHITE,,,,,,,,,,,FALSE,25-44,M,WHITE,18-24,M,WHITE,3713
Driver Inattention/Distraction,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,"TRAFFIC,UNCLASSIFIED MISDEMEAN",25-44,M,BLACK,FELONY,"LARCENY,GRAND FROM RESIDENCE, UNATTENDED",RESIDENCE - APT. HOUSE,25-44,BLACK,M,65+,WHITE,F,,,,,,,,,3714
Driver Inattention/Distraction,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,"LARCENY,PETIT FROM OPEN AREAS,UNCLASSIFIED",25-44,M,BLACK,MISDEMEANOR,"LARCENY,PETIT FROM BUILDING,UNATTENDED, PACKAGE THEFT INSIDE",RESIDENCE - APT. HOUSE,UNKNOWN,UNKNOWN,U,25-44,WHITE,F,HOSPITAL,FALSE,18-24,M,WHITE,18-24,M,BLACK HISPANIC,3715
Driver Inattention/Distraction,Sedan,PASSENGER VEHICLE,Sedan,ASSAULT 3,25-44,M,WHITE,FELONY,"HARASSMENT,SUBD 3,4,5",RESIDENCE - APT. HOUSE,UNKNOWN,UNKNOWN,M,25-44,WHITE,F,,,,,,,,,3716
Driver Inattention/Distraction,Sedan,PASSENGER VEHICLE,Sedan,"MARIJUANA, POSSESSION 4 & 5",18-24,M,WHITE,FELONY,"LARCENY,GRAND BY BANK ACCT COMPROMISE-UNAUTHORIZED PURCHASE",RESIDENCE - APT. HOUSE,45-64,WHITE,M,45-64,WHITE,F,,,,,,,,,3717
Driver Inattention/Distraction,Sedan,Sedan,Sedan,"MARIJUANA, POSSESSION 4 & 5",25-44,M,BLACK,FELONY,"LARCENY,PETIT OF LICENSE PLATE",RESIDENCE - PUBLIC HOUSING,UNKNOWN,UNKNOWN,U,25-44,UNKNOWN,M,MULTI DWELL - PUBLIC HOUS,FALSE,18-24,M,BLACK,25-44,M,BLACK,3718
Driver Inattention/Distraction,Sedan,Station Wagon/Sport Utility Vehicle,Sedan,ASSAULT 3,25-44,M,WHITE HISPANIC,FELONY,"LARCENY,GRAND BY CREDIT CARD ACCT COMPROMISE-EXISTING ACCT",RESIDENCE - APT. HOUSE,UNKNOWN,UNKNOWN,U,25-44,WHITE,M,MULTI DWELL - APT BUILD,FALSE,18-24,F,BLACK,25-44,M,BLACK,3719
Driver Inattention/Distraction,Sedan,Sedan,Sedan,"INTOXICATED DRIVING,ALCOHOL",25-44,M,WHITE HISPANIC,VIOLATION,"HARASSMENT,SUBD 3,4,5",BAR/NIGHT CLUB,UNKNOWN,UNKNOWN,F,25-44,WHITE,M,,FALSE,,,,25-44,M,WHITE HISPANIC,3720
Driver Inattention/Distraction,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,Sedan,"NY STATE LAWS,UNCLASSIFIED VIOLATION",25-44,M,WHITE,FELONY,"LARCENY,GRAND BY CREDIT CARD ACCT COMPROMISE-EXISTING ACCT",RESIDENCE - APT. HOUSE,UNKNOWN,UNKNOWN,F,25-44,WHITE,M,MULTI DWELL - APT BUILD,FALSE,18-24,M,BLACK,18-24,M,WHITE,3721
Driver Inattention/Distraction,Sedan,PASSENGER VEHICLE,Station Wagon/Sport Utility Vehicle,ASSAULT 3,25-44,M,WHITE,MISDEMEANOR,AGGRAVATED HARASSMENT 2,RESIDENCE - APT. HOUSE,25-44,BLACK,F,25-44,UNKNOWN,M,,,,,,,,,3722
Driver Inattention/Distraction,Sedan,Station Wagon/Sport Utility Vehicle,Sedan,"MARIJUANA, POSSESSION 4 & 5",25-44,M,WHITE,MISDEMEANOR,"LARCENY,PETIT FROM AUTO",STREET,(null),(null),(null),25-44,WHITE HISPANIC,F,,,,,,,,,3723
Driver Inattention/Distraction,Sedan,Sedan,Station Wagon/Sport Utility Vehicle,"NY STATE LAWS,UNCLASSIFIED MISDEMEANOR",25-44,M,BLACK,MISDEMEANOR,"LARCENY,PETIT BY FALSE PROMISE",RESIDENCE - APT. HOUSE,65+,ASIAN / PACIFIC ISLANDER,M,45-64,ASIAN / PACIFIC ISLANDER,M,MULTI DWELL - APT BUILD,TRUE,45-64,M,BLACK,25-44,F,WHITE,3724
Driver Inattention/Distraction,Sedan,Sedan,Sedan,"WEAPONS, POSSESSION, ETC",25-44,M,BLACK,,,,,,,,,,,,,,,,,,3726
Driver Inattention/Distraction,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,Sedan,"TRAFFIC,UNCLASSIFIED INFRACTIO",25-44,M,BLACK,,,,,,,,,,,,,,,,,,3727
Failure to Yield Right-of-Way,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,Sedan,ASSAULT 3,25-44,M,WHITE HISPANIC,FELONY,"LARCENY,GRAND BY BANK ACCT COMPROMISE-UNCLASSIFIED",RESIDENCE-HOUSE,(null),(null),(null),45-64,WHITE HISPANIC,F,,,,,,,,,3730
Failure to Yield Right-of-Way,Station Wagon/Sport Utility Vehicle,Sedan,Station Wagon/Sport Utility Vehicle,"CONTROLLED SUBSTANCE,INTENT TO SELL 3",25-44,M,WHITE HISPANIC,,,,,,,,,,,TRUE,25-44,M,BLACK,25-44,M,BLACK,3731
Following Too Closely,Station Wagon/Sport Utility Vehicle,PASSENGER VEHICLE,Station Wagon/Sport Utility Vehicle,"LARCENY,PETIT FROM OPEN AREAS,UNCLASSIFIED",25-44,M,WHITE,FELONY,"FRAUD,UNCLASSIFIED-FELONY",RESIDENCE - APT. HOUSE,(null),(null),(null),25-44,ASIAN / PACIFIC ISLANDER,M,,FALSE,,,,25-44,M,BLACK,3732
Failure to Yield Right-of-Way,Station Wagon/Sport Utility Vehicle,PASSENGER VEHICLE,PASSENGER VEHICLE,ASSAULT 3,25-44,M,ASIAN / PACIFIC ISLANDER,MISDEMEANOR,"LARCENY,PETIT FROM BUILDING,UNATTENDED, PACKAGE THEFT INSIDE",RESIDENCE - APT. HOUSE,45-64,WHITE,M,65+,WHITE,M,,,,,,,,,3733
Failure to Yield Right-of-Way,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,PASSENGER VEHICLE,ASSAULT 3,25-44,M,ASIAN / PACIFIC ISLANDER,MISDEMEANOR,"LARCENY,PETIT FROM BUILDING,UN",RESIDENCE-HOUSE,25-44,ASIAN / PACIFIC ISLANDER,M,45-64,ASIAN / PACIFIC ISLANDER,F,,,,,,,,,3734
Failure to Yield Right-of-Way,PASSENGER VEHICLE,PASSENGER VEHICLE,Sedan,ASSAULT 3,25-44,M,ASIAN / PACIFIC ISLANDER,FELONY,"LARCENY,GRAND BY BANK ACCT COMPROMISE-ATM TRANSACTION",RESIDENCE-HOUSE,(null),(null),(null),65+,ASIAN / PACIFIC ISLANDER,F,,,,,,,,,3735
Failure to Yield Right-of-Way,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,ASSAULT 3,25-44,M,WHITE,,,,,,,,,,,,,,,,,,3736
Failure to Yield Right-of-Way,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,"LARCENY,GRAND FROM OPEN AREAS,UNCLASSIFIED",25-44,M,WHITE,MISDEMEANOR,"LARCENY,PETIT FROM BUILDING,UNATTENDED, PACKAGE THEFT OUTSIDE",RESIDENCE-HOUSE,(null),(null),(null),45-64,WHITE,F,,,,,,,,,3737
Driver Inattention/Distraction,PASSENGER VEHICLE,PASSENGER VEHICLE,Station Wagon/Sport Utility Vehicle,ASSAULT 3,25-44,M,WHITE,MISDEMEANOR,"FRAUD,UNCLASSIFIED-MISDEMEANOR",RESIDENCE-HOUSE,(null),(null),(null),65+,WHITE,M,,,,,,,,,3738
Failure to Yield Right-of-Way,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,ASSAULT 3,<18,M,WHITE,FELONY,"LARCENY,GRAND BY FALSE PROMISE-NOT IN PERSON CONTACT",RESIDENCE-HOUSE,(null),(null),(null),18-24,ASIAN / PACIFIC ISLANDER,M,,,,,,,,,3739
Driver Inattention/Distraction,Station Wagon/Sport Utility Vehicle,PASSENGER VEHICLE,Sedan,"INTOXICATED DRIVING,ALCOHOL",25-44,M,WHITE,,,,,,,,,,,,,,,,,,3740
Fatigued/Drowsy,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,"MENACING,UNCLASSIFIED",25-44,M,BLACK,,,,,,,,,,,,,,,,,,3741
Obstruction/Debris,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,"MISCHIEF,CRIMINAL     UNCLASSIFIED 4TH DEG",<18,M,WHITE,,,,,,,,,,,,,,,,,,3742
Driver Inattention/Distraction,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,PASSENGER VEHICLE,"RECORDS,FALSIFY-TAMPER",25-44,M,WHITE HISPANIC,FELONY,"LARCENY,GRAND BY IDENTITY THEFT-UNCLASSIFIED",RESIDENCE-HOUSE,(null),(null),(null),65+,WHITE,F,,,,,,,,,3743
Driver Inattention/Distraction,PASSENGER VEHICLE,Sedan,PASSENGER VEHICLE,ASSAULT 3,25-44,M,WHITE,,,,,,,,,,,,,,,,,,3744
Driver Inattention/Distraction,PASSENGER VEHICLE,Station Wagon/Sport Utility Vehicle,PASSENGER VEHICLE,"TRAFFIC,UNCLASSIFIED MISDEMEAN",25-44,M,ASIAN / PACIFIC ISLANDER,FELONY,"LARCENY,GRAND BY DISHONEST EMP",RESIDENCE-HOUSE,25-44,WHITE,F,45-64,WHITE,F,,,,,,,,,3745
